sec,timestamp,maa,clock_ticks,clock_seconds,longitude,latitude,relative_height_meters
111,2022-06-09 09:41:51,7.508308e-07,2068633346,385.068,144.802874862128,13.431438009362166,33.24722622412109
112,2022-06-09 09:41:52,1.0435512e-06,2073134461,386.068,144.80285331852522,13.431440622731431,32.89050625341797
113,2022-06-09 09:41:53,1.1089844e-06,2077635038,387.069,144.80282929051552,13.431445657960063,32.08203457373047
114,2022-06-09 09:41:54,8.619862e-07,2082135674,388.069,144.80280835749087,13.431453098959036,31.228251919921878
115,2022-06-09 09:41:55,1.13485e-06,2086635879,389.069,144.80280254569806,13.43145307689362,31.30475185888672
116,2022-06-09 09:41:56,1.1001265e-06,2091136107,390.069,144.80279860263354,13.431451644883936,31.37763546484375
117,2022-06-09 09:41:57,1.3009003e-06,2095639394,391.07,144.8027984449467,13.431451626261053,30.899592862304686
118,2022-06-09 09:41:58,7.707053e-07,2100139939,392.07,144.80279651174138,13.43145137816598,29.77205990332031
119,2022-06-09 09:41:59,1.11019e-06,2104641835,393.07,144.8027964872348,13.43145046652232,28.35103939550781
120,2022-06-09 09:42:00,1.0039224e-06,2109143234,394.07,144.80279689691193,13.431452236533469,26.40441463964844
121,2022-06-09 09:42:01,9.579886e-07,2113644075,395.071,144.8027983892707,13.431451824099083,24.31744717138672
122,2022-06-09 09:42:02,9.564083e-07,2118144764,396.071,144.80279948401153,13.431452440266469,22.60323666113281
123,2022-06-09 09:42:03,8.312723e-07,2122645198,397.071,144.80279740851014,13.431452557315763,21.528293118652343
124,2022-06-09 09:42:04,7.97806e-07,2127147004,398.071,144.80279710368603,13.431453280566368,18.35753963964844
125,2022-06-09 09:42:05,7.797411e-07,2131647178,399.071,144.80280059647174,13.431453990144554,16.864638791259765
126,2022-06-09 09:42:06,8.137133e-07,2136148422,400.072,144.80280065339187,13.431452365107264,16.204535947021483
127,2022-06-09 09:42:07,9.585174e-07,2140648459,401.072,144.8027988220223,13.431451803450416,14.698787198242186
128,2022-06-09 09:42:08,1.1632045e-06,2145149167,402.072,144.8028002703008,13.431451362606198,11.797534451660155
129,2022-06-09 09:42:09,7.120505e-07,2149649614,403.072,144.802801088177,13.43145042583239,10.637534604248046
